"Familia";"Especie";"Habito";"Fenologia";"Luminosidade";"Substrato";"Longevidade";"Rebroto"
FABACEAE;Mimosa manidea;bush;;;;unkown;unkown;
FABACEAE;Mimosa oligosperma;bush;;;;unkown;unkown;
FABACEAE;Mimosa pycnocoma;bush;;;;unkown;unkown;
FABACEAE;Mimosa pyrenea;bush;;;;unkown;unkown;
FABACEAE;Mimosa regina;tree;;;;unkown;unkown;
FABACEAE;Mimosa setosissima;bush;;;;unkown;unkown;
FABACEAE;Mimosa splendida;tree;;;;unkown;unkown;
FABACEAE;Mimosa ulbrichiana;bush;;;;unkown;unkown;
FABACEAE;Mimosa ulei;bush;;heliophytic;saxicolous;unkown;unkown;
FABACEAE;Mimosa virgula;bush;;heliophytic;;unkown;unkown;
APOCYNACEAE;Minaria campanuliflora;bush;;;;unkown;unkown;
ASTERACEAE;Minasia cabralensis;herb;;;terrestrial;;;
ASTERACEAE;Minasia lewinsohnii;herb;;;terrestrial;;;
RUBIACEAE;Mitracarpus pusillus;;;;;anual;unkown;
FABACEAE;Moldenhawera acuminata;bush;;;;unkown;unkown;
PRIMULACEAE;Myrsine cipoensis;bush;;;;unkown;unkown;
APOCYNACEAE;Nephradenia filipes;bush;;;;unkown;unkown;
POACEAE;Ophiochloa bryoides;herb;;;rupicolous;anual;unkown;
BROMELIACEAE;Orthophytum mello-barretoi;herb;;heliophytic;rupicolous;unkown;unkown;
BROMELIACEAE;Orthophytum schulzianum;herb;;;rupicolous;unkown;unkown;
LORANTHACEAE;Oryctina eubrachioides;herb;;;hemiepiphytes;unkown;unkown;
POACEAE;Otachyrium piligerum;herb;;;;perennial;unkown;
OCHNACEAE;Ouratea acicularis;bush;;;;unkown;unkown;
OXALIDACEAE;Oxalis areolata;herb;;;;unkown;unkown;
OXALIDACEAE;Oxalis pretoensis;herb;;;;unkown;unkown;
OXALIDACEAE;Oxalis veadeirosensis;bush;;;;unkown;unkown;
APOCYNACEAE;Oxypetalum habrogynum;liana;;;;unkown;unkown;
APOCYNACEAE;Oxypetalum helios;liana;;;;unkown;unkown;
APOCYNACEAE;Oxypetalum pardense;bush;semideciduifolia;;;unkown;unkown;
ERIOCAULACEAE;Paepalanthus albidus;herb;;;;anual;unkown;
ERIOCAULACEAE;Paepalanthus albo-tomentosus;herb;;;;unkown;unkown;
ERIOCAULACEAE;Paepalanthus almasensis;herb;;;;unkown;unkown;
ERIOCAULACEAE;Paepalanthus anamariae;herb;;;;unkown;unkown;
ERIOCAULACEAE;Paepalanthus argenteus;herb;;;;perennial;unkown;
ERIOCAULACEAE;Paepalanthus aureus;herb;;;;unkown;unkown;
ERIOCAULACEAE;Paepalanthus barbiger;herb;;;;unkown;unkown;
ERIOCAULACEAE;Paepalanthus barbulatus;herb;;;;unkown;unkown;
ERIOCAULACEAE;Paepalanthus cinereus;herb;;;;unkown;unkown;
ERIOCAULACEAE;Paepalanthus complanatus;herb;;;;unkown;unkown;
ERIOCAULACEAE;Paepalanthus contasensis;herb;;;;unkown;unkown;
ERIOCAULACEAE;Paepalanthus cordatus;herb;;;;unkown;unkown;
ERIOCAULACEAE;Paepalanthus digitiformis;herb;;;;unkown;unkown;
ERIOCAULACEAE;Paepalanthus erigeron;herb;;;;unkown;unkown;
ERIOCAULACEAE;Paepalanthus globulifer;herb;;;;unkown;unkown;
ERIOCAULACEAE;Paepalanthus harleyi;herb;;;;unkown;unkown;
ERIOCAULACEAE;Paepalanthus homomallus;herb;;;;unkown;unkown;
ERIOCAULACEAE;Paepalanthus inopinatus;herb;;;;unkown;unkown;
ERIOCAULACEAE;Paepalanthus luetzelburgii;herb;;;;unkown;unkown;
ERIOCAULACEAE;Paepalanthus obtusifolius;herb;;;;unkown;unkown;
ERIOCAULACEAE;Paepalanthus pulvinatus;herb;;;;unkown;unkown;
ERIOCAULACEAE;Paepalanthus revolutus;herb;;;;unkown;unkown;
ERIOCAULACEAE;Paepalanthus rupestris;herb;;;;anual;unkown;
ERIOCAULACEAE;Paepalanthus senaeanus;herb;;;;unkown;unkown;
ERIOCAULACEAE;Paepalanthus stannardii;herb;;;;unkown;unkown;
ERIOCAULACEAE;Paepalanthus stuetzelii;herb;;;;unkown;unkown;
ERIOCAULACEAE;Paepalanthus superbus;herb;;;;unkown;unkown;
ERIOCAULACEAE;Paepalanthus urbanianus;herb;;;;unkown;unkown;
GESNERIACEAE;Paliavana plumerioides;bush;;;;unkown;unkown;
POACEAE;Panicum ephemeroides;herb;;;terrestrial;anual;unkown;
POACEAE;Panicum noterophilum;herb;;;terrestrial;perennial;unkown;
POACEAE;Panicum nutabundum;herb;;;;anual;unkown;
CARYOPHYLLACEAE;Paronychia fasciculata;herb;;;;unkown;unkown;
POACEAE;Paspalum biaristatum;herb;;;terrestrial;perennial;unkown;
POACEAE;Paspalum brachytrichum;herb;;;rupicolous;perennial;unkown;
POACEAE;Paspalum burmanii;herb;;;rupicolous;perennial;unkown;
POACEAE;Paspalum cachimboense;herb;;;terrestrial;anual;unkown;
POACEAE;Paspalum filgueirasii;herb;;;;perennial;yes;
POACEAE;Paspalum longiaristatum;herb;;;;anual;unkown;
POACEAE;Paspalum petrense;herb;;;rupicolous;perennial;unkown;
POACEAE;Paspalum vallsii;herb;;;terrestrial;perennial;unkown;
PASSIFLORACEAE;Passiflora hypoglauca;liana;;;;unkown;unkown;
PASSIFLORACEAE;Passiflora mucugeana;liana;;;;unkown;unkown;
MALPIGHIACEAE;Peixotoa anadenanthera;bush;;;;;;
MALPIGHIACEAE;Peixotoa irwinii;bush;;;;;;
MALPIGHIACEAE;Peixotoa octoflora;bush;;;terrestrial;;;
PIPERACEAE;Peperomia warmingii;;;;;unkown;unkown;
SCROPHULARIACEAE;Philcoxia goiasensis;herb;;;;unkown;unkown;
SCROPHULARIACEAE;Philcoxia minensis;herb;;;;unkown;unkown;
ARACEAE;Philodendron cipoense;herb;;;;unkown;unkown;
ARACEAE;Philodendron pachyphyllum;herb;;;;unkown;unkown;
ARACEAE;Philodendron rhizomatosum;herb;;;;unkown;unkown;
SANTALACEAE;Phoradendron anamariae;herb;;;;unkown;unkown;
SANTALACEAE;Phoradendron dimerostachys;herb;;;;unkown;unkown;
SANTALACEAE;Phoradendron virens;herb;;;;unkown;unkown;
OROBANCHACEAE;Physocalyx scaberrimus;bush;;;;unkown;unkown;
TURNERACEAE;Piriqueta araguaiana;bush;;;;unkown;unkown;
TURNERACEAE;Piriqueta caiapoensis;herb;;;;unkown;unkown;
TURNERACEAE;Piriqueta cristobaliae;bush;;;;unkown;unkown;
TURNERACEAE;Piriqueta emasensis;herb;;heliophytic;hemiepiphytes;perennial;yes;
TURNERACEAE;Piriqueta lourteigiae;herb;;;terrestrial;unkown;unkown;
BROMELIACEAE;Pitcairnia curvidens;herb;;;rupicolous;unkown;unkown;
MYRTACEAE;Plinia nana;bush;;;;unkown;unkown;
ACANTHACEAE;Poikilacanthus bahiensis;bush;;;;perennial;unkown;
FABACEAE;Poiretia bahiana;bush;;;;unkown;unkown;
FABACEAE;Poiretia marginata;bush;;;;unkown;unkown;
FABACEAE;Poiretia unifoliolata;bush;;;;unkown;unkown;
POLYGALACEAE;Polygala apparicioi;herb;;;terrestrial;;;
POLYGALACEAE;Polygala asperuloides;herb;;;terrestrial;;;
POLYGALACEAE;Polygala bevilacquai;herb;;;terrestrial;;;
POLYGALACEAE;Polygala grazielae;bush;;;terrestrial;;;
POLYGALACEAE;Polygala irwinii;bush;;;terrestrial;;;
POLYGALACEAE;Polygala juncea;herb;;;terrestrial;;;
POLYGALACEAE;Polygala malmeana;herb;;;terrestrial;;;
POLYGALACEAE;Polygala patens;herb;;;terrestrial;bianual;;
POLYGALACEAE;Polygala pseudocoriacea;bush;;;terrestrial;;;
POLYGALACEAE;Polygala pseudoerica;bush;;;terrestrial;;;
POLYGALACEAE;Polygala suganumae;herb;;;terrestrial;bianual;;
POLYGALACEAE;Polygala trifurcata;bush;;;terrestrial;;;
POLYGALACEAE;Polygala vollii;herb;;;terrestrial;;;
GENTIANACEAE;Prepusa montana;bush;;;rupicolous;unkown;unkown;
BURSERACEAE;Protium dawsonii;tree;;;;unkown;unkown;
MYRTACEAE;Psidium firmum;bush;;;;unkown;unkown;
LORANTHACEAE;Psittacanthus acinarius;herb;;;hemiepiphytes;unkown;unkown;
RUBIACEAE;Psyllocarpus schwackei;;;;;perennial;unkown;
MALPIGHIACEAE;Pterandra hatschbachii;bush;;;terrestrial;;;
MALPIGHIACEAE;Pterandra viridiflora;bush;;;terrestrial;;;
MELASTOMATACEAE;Pterolepis rotundifolia;bush;;heliophytic;saxicolous;unkown;unkown;
VOCHYSIACEAE;Qualea elegans;bush;;;;unkown;;
APOCYNACEAE;Rauvolfia ligustrina;bush;;;;unkown;yes;
RHABDODENDRACEAE;Rhabdodendron gardneranum;bush;;;;unkown;unkown;
POACEAE;Rheochloa scabrifolia;herb;;;;perennial;unkown;
CACTACEAE;Rhipsalis agudoensis;bush;;;;unkown;unkown;
CYPERACEAE;Rhynchospora enmanuelis;herb;;;;perennial;unkown;
CYPERACEAE;Rhynchospora tenuis;herb;;;;unkown;unkown;
CONNARACEAE;Rourea chrysomalla;bush;;;;unkown;unkown;
CONNARACEAE;Rourea prancei;liana;;;;unkown;unkown;
CONNARACEAE;Rourea tenuis;bush;;;;unkown;unkown;
POACEAE;Rupichloa acuminata;herb;;;;perennial;unkown;
ORCHIDACEAE;Sarcoglottis riocontensis;herb;;;;unkown;unkown;
OCHNACEAE;Sauvagesia lanceolata;herb;;;;unkown;unkown;
OCHNACEAE;Sauvagesia oliveirae;bush;;;;unkown;unkown;
OCHNACEAE;Sauvagesia ribeiroi;bush;;;;unkown;unkown;
ARALIACEAE;Schefflera botumirimensis;bush;;;;;;
ARALIACEAE;Schefflera cephalantha;bush;;;;;;
ARALIACEAE;Schefflera fruticosa;bush;;;;;;
ARALIACEAE;Schefflera lucumoides;bush;;;;;;
SCHOEPFIACEAE;Schoepfia velutina;bush;;;;unkown;unkown;
GENTIANACEAE;Schultesia bahiensis;herb;;;;unkown;unkown;
GENTIANACEAE;Schultesia crenuliflora;herb;;;;anual;unkown;
GENTIANACEAE;Schultesia irwiniana;herb;;heliophytic;;unkown;unkown;
GENTIANACEAE;Schultesia pachyphylla;herb;;heliophytic;;unkown;yes;
GENTIANACEAE;Schultesia piresiana;herb;;;;unkown;unkown;
GENTIANACEAE;Schultesia sucreana;herb;;heliophytic;rupicolous;unkown;unkown;
CYPERACEAE;Scleria cuyabensis;herb;;;;anual;unkown;
POLYGALACEAE;Securidaca acuminata;bush;;;terrestrial;;;
SOLANACEAE;Solanum eitenii;bush;;;;unkown;unkown;
POACEAE;Sporobolus hians;herb;;;;perennial;unkown;
POACEAE;Sporobolus paucifolius;herb;;;;perennial;unkown;
VERBENACEAE;Stachytarpheta ajugifolia;bush;;;;;;
VERBENACEAE;Stachytarpheta bicolor;bush;;;;unkown;unkown;
VERBENACEAE;Stachytarpheta discolor;bush;;;;unkown;unkown;
VERBENACEAE;Stachytarpheta froesii;bush;;;;unkown;unkown;
VERBENACEAE;Stachytarpheta galactea;bush;;;;unkown;unkown;
VERBENACEAE;Stachytarpheta integrifolia;bush;;;;unkown;unkown;
VERBENACEAE;Stachytarpheta itambensis;bush;;;;unkown;unkown;
VERBENACEAE;Stachytarpheta lacunosa;bush;;;;;unkown;
VERBENACEAE;Stachytarpheta lychnitis;bush;;;;unkown;unkown;
VERBENACEAE;Stachytarpheta monachinoi;herb;;;;unkown;unkown;
VERBENACEAE;Stachytarpheta pohliana;bush;;;;unkown;unkown;
RUBIACEAE;Staelia tocantinsiana;;;;;unkown;unkown;
ACANTHACEAE;Staurogyne minarum;bush;;;;unkown;unkown;
ACANTHACEAE;Stenandrium goiasense;herb;;;;perennial;unkown;
ACANTHACEAE;Stenandrium irwinii;herb;;;;perennial;unkown;
ASTERACEAE;Stenophalium heringeri;herb;;;terrestrial;;;
ASTERACEAE;Stevia resinosa;herb;;;terrestrial;;;
MALPIGHIACEAE;Stigmaphyllon jobertii;liana;;;;;;
POACEAE;Streptostachys lanciflora;herb;;;;perennial;unkown;
LORANTHACEAE;Struthanthus microstylus;herb;;;;unkown;unkown;
LORANTHACEAE;Struthanthus planaltinae;herb;;;hemiepiphytes;unkown;unkown;
LORANTHACEAE;Struthanthus pusillifolius;herb;;;hemiepiphytes;unkown;unkown;
LORANTHACEAE;Struthanthus rufo-furfuraceus;herb;;;;unkown;unkown;
LOGANIACEAE;Strychnos cerradoensis;liana;;;;unkown;unkown;
ARECACEAE;Syagrus werdermannii;tree;;;;unkown;yes;
SYMPLOCACEAE;Symplocos glaberrima;bush;;;;unkown;unkown;
SYMPLOCACEAE;Symplocos insolita;bush;;;;unkown;unkown;
SYMPLOCACEAE;Symplocos saxatilis;bush;;;;unkown;unkown;
ERIOCAULACEAE;Syngonanthus bracteosus;herb;;;;unkown;unkown;
ERIOCAULACEAE;Syngonanthus hygrotrichus;herb;;;;unkown;unkown;
ERIOCAULACEAE;Syngonanthus latifolius;herb;;;;unkown;unkown;
APOCYNACEAE;Tassadia geniculata;liana;;;;unkown;unkown;
APOCYNACEAE;Tassadia rizzoana;liana;;;;unkown;unkown;
BROMELIACEAE;Tillandsia copynii;herb;;;epiphytic;unkown;unkown;
BROMELIACEAE;Tillandsia sprengeliana;herb;;;rupicolous;unkown;unkown;
MELASTOMATACEAE;Trembleya rosmarinoides;bush;;heliophytic;saxicolous;unkown;unkown;
COMMELINACEAE;Tripogandra elata;herb;;;;perennial;unkown;
COMMELINACEAE;Tripogandra warmingiana;herb;semideciduifolia;;;anual;unkown;
TURNERACEAE;Turnera asymmetrica;bush;;;;perennial;unkown;
TURNERACEAE;Turnera cipoensis;herb;;;;perennial;unkown;
TURNERACEAE;Turnera coccinea;bush;;;terrestrial;perennial;unkown;
TURNERACEAE;Turnera collotricha;herb;;;;unkown;unkown;
TURNERACEAE;Turnera coriacea;herb;;;terrestrial;unkown;unkown;
TURNERACEAE;Turnera elliptica;herb;;;;unkown;unkown;
TURNERACEAE;Turnera foliosa;herb;;;terrestrial;unkown;unkown;
TURNERACEAE;Turnera gardneriana;bush;;;;unkown;unkown;
TURNERACEAE;Turnera ignota;herb;;;rupicolous;unkown;unkown;
TURNERACEAE;Turnera luetzelburgii;bush;;;terrestrial;unkown;unkown;
TURNERACEAE;Turnera pinifolia;herb;;;rupicolous;;unkown;
TURNERACEAE;Turnera princeps;bush;;;terrestrial;unkown;unkown;
TURNERACEAE;Turnera reginae;herb;;;terrestrial;unkown;unkown;
TURNERACEAE;Turnera revoluta;bush;;;;perennial;unkown;
TURNERACEAE;Turnera riedeliana;herb;;;;perennial;unkown;
LENTIBULARIACEAE;Utricularia huntii;herb;perenifolia;;;perennial;;
VELLOZIACEAE;Vellozia bradei;;;;;unkown;unkown;
VELLOZIACEAE;Vellozia costata;herb;;;;unkown;unkown;
VELLOZIACEAE;Vellozia crinita;herb;;;;unkown;unkown;
VELLOZIACEAE;Vellozia exilis;herb;;;;unkown;unkown;
VELLOZIACEAE;Vellozia graomogolensis;;;;;unkown;unkown;
VELLOZIACEAE;Vellozia luteola;;;;;unkown;unkown;
VELLOZIACEAE;Vellozia maxillarioides;;;;;unkown;unkown;
VELLOZIACEAE;Vellozia prolifera;;;;;unkown;unkown;
VELLOZIACEAE;Vellozia sellowii;herb;;;;unkown;unkown;
VELLOZIACEAE;Vellozia spiralis;;;;;unkown;unkown;
VELLOZIACEAE;Vellozia tillandsioides;;;;;unkown;unkown;
VELLOZIACEAE;Vellozia torquata;;;;;unkown;unkown;
ASTERACEAE;Vernonanthura almedae;bush;;;;;;
ASTERACEAE;Vernonanthura lindbergii;bush;;;terrestrial;;;
VOCHYSIACEAE;Vochysia petraea;;;;;unkown;;
VOCHYSIACEAE;Vochysia pygmaea;bush;;;;unkown;unkown;
VOCHYSIACEAE;Vochysia rotundifolia;bush;;;;;;
BROMELIACEAE;Vriesea densiflora;herb;;heliophytic;rupicolous;unkown;unkown;
ASTERACEAE;Wedelia souzae;bush;;;;;;
XYRIDACEAE;Xyris archeri;herb;deciduifolia;;;;;
XYRIDACEAE;Xyris diaphanobracteata;herb;;;;;;
XYRIDACEAE;Xyris goyazensis;herb;;;;;;
XYRIDACEAE;Xyris itambensis;herb;;;;;;
XYRIDACEAE;Xyris jataiana;herb;;;;;;
XYRIDACEAE;Xyris lanuginosa;herb;;;;;;
XYRIDACEAE;Xyris mertensiana;herb;;;;perennial;;
XYRIDACEAE;Xyris obcordata;herb;;;;perennial;;
XYRIDACEAE;Xyris paradisiaca;herb;;;;perennial;;
XYRIDACEAE;Xyris picea;herb;;;;perennial;;
XYRIDACEAE;Xyris pranceana;herb;perenifolia;;;;;
XYRIDACEAE;Xyris rupicola;herb;perenifolia;;;;;
XYRIDACEAE;Xyris spectabilis;herb;perenifolia;;;;;
XYRIDACEAE;Xyris subsetigera;herb;perenifolia;;;;;
XYRIDACEAE;Xyris veruina;herb;perenifolia;;;;;
XYRIDACEAE;Xyris vestita;herb;;;;perennial;;
XYRIDACEAE;Xyris villosicarinata;herb;;;;;;
FABACEAE;Zornia glaziovii;bush;;;terrestrial;unkown;unkown;
FABACEAE;Zornia subsessilis;bush;;;;unkown;unkown;
