family,scientificNameWithoutAuthorship,scientificNameAuthorship,assessment,category,criteria,assessor,evaluator,rationale
ARALIACEAE,"Schefflera cephalantha","(Harms) Frodin",comments,CR,"B2ab(i,ii,iii)","Rodrigo Amaro","Luiz Santos","Espécie endêmica da Chapada dos Guimarães, no estado do Mato Grosso (Fiaschi, 2009), de ocorrência restrita ao bioma Cerrado, onde se desenvolve em Matas de Galeria (Fiaschi, 2013). Possui AOO menor que 10 km² e está sujeita a uma situação de ameaça. Suspeita-se que a espécie sofra com a perda da qualidade do hábitat e o declínio da EOO e AOO, em função das ameaças incidentes a sua área de distribuição, como o aumento da ocorrência de queimadas, o crescimento urbano, o turismo e a invasão de espécies exóticas (como Pinus sp. e braquiária) (MMA/ICMBio, 2009). Investimentos em pesquisa e expedições para a área de ocorrência da espécie são necessários na tentativa de descoberta de novas subpopulações, como também a elaboração de planos de ação para a garantia da manutenção da espécie na natureza."
ARALIACEAE,"Schefflera fruticosa","Fiaschi & Pirani",comments,EN,"A4cd;B1ab(i,ii,iii)+2ab(i,ii,iii)","Rodrigo Amaro","Luiz Santos","Arbusto de ocorrência restrita aos Campos Rupestres da porção sul da Cadeia do Espinhaço (Serra do Cipó), no estado de Minas Gerais (Fiaschi & Pirani, 2005; 2008; Fiaschi, 2009; 2013). Possui EOO menor que 5000 km², AOO inferior a 500 km² e está sujeita a menos de cinco situações de ameaça considerando suas localidades de ocorrência. Suspeita-se que a espécie sofra com a perda da qualidade do hábitat e o declínio contínuo da EOO e AOO, em decorrência de ameaças como o turismo, o crescimento urbano (Oliveira, 2002), a pecuária e a mineração (Vasconcelos et al., 2008). É encontrada nos limites do Parque Nacional da Serra do Cipó e seu entorno, assim, estima-se que suas subpopulações presentes nos arredores do Parque tenham sofrido redução na última década. Caso essas ameaças não sejam controladas, é possível a elevação do risco de extinção da espécie em um futuro próximo. Dessa maneira, novos estudos são necessários, a fim de elevar o conhecimento sobre o táxon e aumentar seu esforço amostral."
ARECACEAE,"Attalea pindobassu",Bondar,comments,LC,,"Luiz Santos","Tainan Messina","Attalea pindobassu, popularmente conhecida como “palmeira”, “pindobaçu” e “coco-palmeira” (Rapini, 2009; Leitman et al., 2013), é uma espécie nativa do estado da Bahia, originalmente restrita ao extremo norte da Chapada Diamantina, próximo aos municípios de Pindobaçu, Saúde, Jacobina, Miguel Calmon e Tapiramutá, onde se desenvolve entre 350 e 1.200 m de altitude (Noblick, 1994; Rapini, 2009). É encontrada em áreas perturbadas pela implementação de pastagens e queimadas sucessivas, o que favorece o desenvolvimento da espécie (Albiero et al., 2007). Apresenta importante valor econômico, sendo explorada em larga escala na agricultura familiar, representando a base da economia de comunidades estabelecidas nos locais de ocorrência da espécie (Albiero et al., 2007). Seu mesocarpo é comestível, e assim como suas sementes é oleaginoso, propriedade utilizada para diversos fins, como por exemplo, na produção de combustível (biodiesel) (Albiero et al., 2007). A. pindobassu é amplamente cultivada e difundida fora de seu limite de distribuição original (Albiero et al., 2007), e apesar de extensivamente explorada, não sofre risco de extinção em futuro próximo, sendo assim considerada uma espécie pouco preocupante quanto ao seu estado de conservação."
ARECACEAE,"Syagrus werdermannii",Burret,comments,LC,,"Luiz Santos","Luiz Santos","Espécie popularmente conhecida como “coco-de-raposa”, “coco-de-vassoura” e “coco-peneira” (Rapini, 2009; Leitman et al., 2013). Apesar de apresentar distribuição restrita ao estado da Bahia no município de Caetité (porção sul da Chapada Diamantina) (Rapini, 2009), é uma espécie abundante em suas localidades de ocorrência (CNCFlora, 2013). No Sítio do Ouro, por exemplo, estima-se um total de 50.000 indivíduos (CNCFlora, 2013). Desenvolve-se em Cerrado disjunto, Campo Limpo e em topos de platôs (Noblick, 1994), sendo encontrada associada a Allegoptera campestris, Astrocaryum campestre e Bactris tucum (CNCFlora, 2013). No município de Caetité existe implementada uma Unidade de Concentração de Urânio (Simões Filho et al., 2003), ameaça em potencial a região, porém ainda não há indícios que sua atividade afete diretamente a conservação da espécie na natureza."
ASTERACEAE,"Aspilia discolor",J.U.Santos,comments,DD,,"Lucas Moraes","Luiz Santos","Endêmica do Brasil, com ocorrência exclusiva até o momento ao estado do Mato Grosso (Nakajima et al., 2009; Nakajima & Mondin, 2013). É conhecida somente pelo seu material-tipo, coletado em 1968 ao longo da estrada que liga Xavantina ao acampamento-base de acesso à Serra do Cachimbo (CNCFlora, 2013). Pouco se sabe sobre a distribuição geográfica, ecologia e biologia da espécie. Ações de pesquisa devem ser direcionadas a fim de se levantar maiores informações que possibilitem apropriadamente a categorização do seu risco de extinção."
ASTERACEAE,"Aspilia goiazensis",J.U.Santos,comments,VU,D2,"Lucas Moraes","Luiz Santos","Endêmica do Brasil, com ocorrência exclusiva no estado de Goiás (Nakajima & Mondin, 2013) (AOO=16 km²) e sujeita a menos de cinco situações de ameaça, é abundante em determinadas áreas de sua ocorrência. Desenvolve-se nos Campos Rupestres e nas áreas campestres associadas ao domínio Cerrado (CNCFlora, 2013). Apesar de algumas subpopulações estarem protegidas pela RPPN Serra do Tombador, no município de Cavalcante, muitas ameaças incidem sobre elas, e de maneira ainda mais impactante sobre as subpopulações não protegidas. O ambiente de ocorrência da espécie sofre com processos erosivos e atividades mineradoras de alto grau de impacto, além de serem assolados anualmente por incêndios severos e pela ampla presença de espécies exóticas com alto poder de competição (Antonelli Filho et al., 2011)."
ASTERACEAE,"Aspilia hatschbachii",J.U.Santos,comments,DD,,"Lucas Moraes","Luiz Santos","Espécie endêmica do Brasil, com ocorrência exclusiva sobre afloramentos de arenito em Campos Rupestres no município de Rio Verde do Mato Grosso, estado do Mato Grosso (Santos 2001; Nakajima et al. 2009; Nakajima & Mondin 2013). É conhecida somente pelo material-tipo, coletado em 1975 e considerada uma espécie rara devido à sua aparente distribuição restrita e ao reduzido número de amostras em herbários  (Santos 2001). A área de ocorrência da espécie sofre com a perda e degradação de habitat, ocasionada principalmente por atividades agropecuárias fortemente impactantes, além da agricultura familiar de subsistência praticada por grande parte da população local (IBGE 2013). Contudo, a espécie carece de dados geográficos, ecológicos e biológicos o que torna inviável uma avaliação de risco de extinção que reflita o real estado de conservação do táxon na natureza. São necessárias ações direcionadas a fim de se levantar maiores informações que possibilitem apropriadamente a categorização do seu risco de extinção."
ASTERACEAE,"Aspilia podophylla",Baker,comments,DD,,"Lucas Moraes","Luiz Santos","Endêmica do Brasil, com ocorrência comprovada até o momento somente para o estado do Tocantins (Nakajima et al. 2009; Nakajima & Mondin 2013). Apesar de ser considerada rara, ter poucas coletas e ocorrer em áreas com diferentes graus de perturbação ambiental, com o atual conhecimento que se tem deste táxon, não foi possível avaliar seu risco de extinção. Recomenda-se ações direcionadas de pesquisa para esta espécie, com o intuito de esclarecer de maneira mais fiel seu padrão de distribuição, ecologia e ameaças incidentes."
ASTERACEAE,"Aspilia pseudoyedaea",H.Rob.,comments,EN,B1ab(iii)+2ab(iii),"Lucas Moraes","Luiz Santos","É endêmica do Distrito Federal, ocorrendo na capital, Brasília, e nas regiões administrativas de Fercal e Sobradinho (Nakajima et al., 2009; Nakajima & Mondin, 2013). Registros de coleta indicam sua presença em altitudes de 900 m (CNCFlora, 2013). Apresenta EOO de 815,9 km² e AOO de 24 km². A expansão urbana (Santos et al., 2010) e o aumento da densidade demográfica da região onde é encontrada (IBGE, 2013) contribuem para a perda de qualidade de seu hábitat e declínio contínuo de EOO e AOO. Também contribui para essa perda o fato de muitas unidades de conservação no Distrito Federal estarem invadidas por edificações ilegais, o que leva à contaminação e ao assoreamento dos corpos d’água (Assunção & Felfili, 2004). Encontra-se sujeita a menos de cinco situações de ameaça, uma vez que a maioria de seus registros de ocorrência constam nas imediações do município de Brasília (CNCFlora, 2013). A espécie tem poucos registros de coleta, o que evidencia a necessidade de mais investimentos em pesquisa e um maior esforço de coleta para a descoberta de novas subpopulações, a fim de aumentar a compreensão de seu estado de conservação na natureza."
ASTERACEAE,"Bidens edentula",G.M.Barroso,comments,EN,"B1ab(i,ii,iii)+2ab(i,ii,iii)","Lucas Moraes","Luiz Santos","Espécie endêmica do estado de Goiás, é encontrada no município de Teresina de Goiás, situado na região da Chapada dos Veadeiros (Mondin & Bringel Jr., 2013) (EOO=578 km²; AOO=20 km²). Encontra-se sujeita a três situações de ameaça, levando em conta seus registros que se distribuem entre as regiões de Teresina de Goiás, Alto Paraíso e Cavalcante (CNCFlora, 2013). Está ameaçada pela modificação da paisagem natural devido à produção agrícola e pecuária (atividades em expansão) (Souza & Felfili, 2006), fatores que também levam a um aumento na frequência de queimadas (Fiedler et al., 2006), além da invasão de espécies exóticas de gramíneas, consequência da pecuária, bastante expressiva na região da Chapada dos Veadeiros (Souza & Felfili, 2006). Esse conjunto de ameaças contribui para a perda da qualidade do hábitat e um possível declínio da EOO e AOO. Se as ameaças incidentes não forem controladas e monitoradas, há risco de que o táxon configure uma categoria de risco mais elevada em um futuro próximo."
ASTERACEAE,"Calea irwinii",G.M.Barroso,comments,EN,"B1ab(i,ii,iii)+2b(i,ii,iii)","Lucas Moraes","Luiz Santos","A espécie é endêmica do estado de Goiás, e ocorre no município de Alto Paraíso de Goiás (Mondin et al., 2013) (EOO estimada em 1.264 km² e AOO estimada em 16 km²). Ocorre em Campos Rupestres em altitudes de aproximadamente 1.000 m (Nakajima et al., 2009; Mondin et al., 2013). Encontra-se ameaçada pela constante expansão das atividades agrícolas do município de Alto Paraíso de Goiás, as quais têm grande importância na região (Souza & Felfili, 2006). Além disso, junto com a pecuária, acarreta a invasão de gramíneas exóticas e modifica a paisagem natural (Souza & Felfili, 2006), o que leva ao aumento na frequência de queimadas (Fiedler et al., 2006) e à consequente perda da qualidade do hábitat. O turismo na Chapada dos Veadeiros carece de infraestrutura básica nos municípios de entorno (MMA/ICMBio, 2009), o que potencializa os impactos ambientais e também configura uma ameaça à espécie."
ASTERACEAE,"Chrysolaena dusenii","(Malme) Dematt.",comments,EN,"B1ab(i,ii,iii)+2ab(i,ii,iii)","Lucas Moraes","Luiz Santos","Espécie endêmica do Brasil, é encontrada nos estados de São Paulo (município de Itararé) e no estado do Paraná (Nakajima et al., 2009; Dematteis, 2013) (EOO estimada em 4.813 km² e AOO estimada em 24 km²). Ocorre no domínio Cerrado, em Campo Limpo, Campos Cerrados e campos arenosos (Nakajima et al., 2009; CNCFlora, 2013). Coletada em unidade de conservação (Parque Estadual do Guartelá), sua distribuição indica que está sujeita a cinco situações de ameaça. Encontra-se ameaçada principalmente pela supressão da vegetação original, pela drenagem dos cursos d’água e pelo pisoteio do gado (IAP, 2002), o que resulta no declínio contínuo da EOO, AOO e qualidade do hábitat."
ASTERACEAE,"Dasyphyllum reticulatum","(DC.) Cabrera",comments,NT,,"Lucas Moraes","Luiz Santos","Endêmica do estado de Minas Gerais, a espécie ocorre nas regiões da Serra do Cipó e da Serra da Mangabeira, na Cadeia do Espinhaço (Nakajima et al., 2009; Saavedra, 2013). Apresenta EOO de 110.230 km² e AOO de 124 km², é encontrada nos municípios de Santana do Riacho, Jaboticatubas e Grão Mogol (Saavedra, 2011). Encontra-se ameaçada pela presença de espécies invasoras na região da Serra do Cipó, que também contribuem para a intensificação do regime de incêndios (Ribeiro et al., 2005). O turismo desordenado na Serra do Cipó também configura uma ameaça preocupante, uma vez que essa atividade acarreta a perda de qualidade do solo (Pinto, 2008). A espécie, porém, não é rara e está bem representada em coleções de herbário (Nakajima, com. pess.), mas o cenário de ameaças em que está inserida representa uma situação de perigo em potencial para a conservação da espécie."
ASTERACEAE,"Dasyphyllum retinens",S.Moore,comments,EN,B2ab(iii),"Lucas Moraes","Luiz Santos","Com AOO de 12 km², ocorre nos estados do Tocantins e Mato Grosso (Chapada dos Guimarães) (Saavedra, 2013). Já foi considerada uma das espécies mais raras do Brasil (Nakajima et al., 2009), mas sua amostragem aumentou com coletas recentes (Saavedra, 2011). As subpopulações da Chapada dos Guimarães encontram-se ameaçadas pelos focos de incêndio oriundos de causas antrópicas, pela presença de gado e pelo turismo desordenado (MMA/ICMBio, 2009b), que comprometem a qualidade do hábitat da espécie. Está sujeita a três situações de ameaça referentes às ocorrências da Chapada dos Guimarães e Dianópolis."
ASTERACEAE,"Dasyphyllum trichophyllum","(Baker) Cabrera",comments,VU,"B1ab(i,ii,iii)","Lucas Moraes","Luiz Santos","Endêmica do estado de Minas Gerais, é encontrada no município de Itambé e em localidades na região da Serra do Caraça, entre os municípios de Botumirim (norte do estado) e Catas Altas (sul da Cadeia do Espinhaço) (Saavedra; CNCFlora, 2013). Trata-se de uma espécie pouco coletada e com distribuição restrita a regiões de Campos Rupestres (Saavedra, 2011). Apresenta EOO estimada em 19.000 km² e está sujeita a cinco situações de ameaça considerando suas localidades de ocorrência. Na Serra do Caraça, a mineração de ouro é praticada desde tempos pretéritos e hoje há atividade mineradora de ferro, o que altera significativamente a região. Além disso, a silvicultura do eucalipto é marcante na paisagem, ocupando cada vez mais espaço. Somado a essas ameaças, o turismo, praticado de maneira desordenada na região, causa impactos significantes (Machado, 2008). Iniciativas de controle e monitoramento das ameaças incidentes são necessárias, bem como a elaboração de planos de ação a fim de garantir a manutenção do táxon na natureza e evitar que figure em uma categoria de ameaça em um futuro próximo."
ASTERACEAE,"Eremanthus pabstii",G.M.Barroso,comments,EN,B1ab(iii)+2ab(iii),"Lucas Moraes","Luiz Santos","Com EOO de 1.887 km² e AOO de 20 km², a espécie é endêmica do estado de Goiás (Loeuille, 2013), encontrada principalmente no município de Cristalina, em afloramentos rochosos de altitude (Nakajima et al., 2009). Está sujeita a três situações de ameaça, sendo a maioria de seus registros de ocorrência referentes ao município de Cristalina (CNCFlora, 2013). Encontra-se ameaçada pela intensa atividade agrícola voltada para a produção de soja, presente no município de Cristalina (Matsuo et al., 2008), que acarreta o declínio contínuo de seu hábitat."
ASTERACEAE,"Ichthyothere mattogrossensis","R.C.A.Pereira & Semir",comments,DD,,"Lucas Moraes","Luiz Santos","Conhecida por apenas um registro de ocorrência, a espécie é endêmica do estado do Mato Grosso do Sul (Nakajima & Mondin, 2013), encontrada no município de Campo Grande (Lagoa Rica), onde ocorre em Campos Cerrados úmidos (Nakajima et al., 2009). O município de Campo Grande sofreu historicamente com a intensa exploração do ouro, e a pecuária é atualmente uma atividade intensa na região (IBGE, 2013), o que acarreta desde tempos pretéritos um constante declínio da extensão e qualidade do seu habitat de ocorrência. Apesar disso, a falta de informações e o baixo número de registros de ocorrência do táxon não permite uma avaliação de risco de extinção plausível, o que evoca a necessidade de pequisas para compreender o estado de conservação dessa espécie, sua integridade taxonômica e sua existência na natureza."
ASTERACEAE,"Ichthyothere petiolata",H.Rob.,comments,DD,,"Lucas Moraes","Luiz Santos","Endêmica do estado de Rondônia (Nakajima & Mondin, 2013) a espécie pode ser encontrada na região dos municípios de Ariquemes e Porto Velho (Nakajima et al., 2009; CNCFlora, 2013). Ocorre em manchas de Cerrado amazônico e capoeiras (Nakajima et al., 2009). A região de ocorrência da espécie sofreu intensamente desde a sua colonização com a exploração de suas especiarias nativas, sendo uma região bastante explorada principalmente no período do primeiro ciclo da borracha. Além disso, a construção da Linha Teleférica de Cuiabá a Santo Antônio do Rio Madeira causou grande impacto na região e foi o principal fator para a ocupação da mesma. Na região também foi exercida atividade mineradora, principalmente a intensa mineração de cassiterita (IBGE, 2013). O baixo número de registros de coletas e informações sobre a espécie, porém, impossibilitam uma avaliação de risco de extinção adequada. A carência dessas informações chama a atenção para a necessidade de maiores esforços de coleta e investimentos em pesquisa, para que o real estado de conservação da espécie possa ser compreendido."
ASTERACEAE,"Lessingianthus arachniolepis","(Ekman & Dusén) H.Rob.",comments,VU,"B2ab(i,iii)","Lucas Moraes","Luiz Santos","Endêmica do Brasil, a espécie ocorre nos estados do Paraná e Rio Grande do Sul, onde é encontrada em altitudes de aproximadamente 740 m (Nakajima et al., 2009; Dematteis & Almeida; CNCFlora, 2013). Está sujeita à influência das atividades pecuaristas, que servem como base para o desenvolvimento econômico de parte de seus municípios de ocorrência, principalmente Jaguariaíva, onde desde tempos pretéritos essa atividade compromete a extensão e qualidade do hábitat em que a espécie se desenvolve (IBGE, 2013). Está sujeita a oito situações de ameaça. A maioria de seus registros de ocorrência concentra-se no município de Jaguaraíva, no Paraná, porém, há uma série de outras localidades de ocorrência da espécie no estado (CNCFlora, 2013)."
ASTERACEAE,"Lessingianthus argenteus","(Less.) H.Rob.",comments,VU,"B1ab(i,ii,iii)","Lucas Moraes","Luiz Santos","A espécie foi descrita no ano de 1988. Caracterizada por ervas de até 1 m de altura, é encontrada no Cerrado, em áreas de transição para a Mata Atlântica (Nakajima et al., 2009) dos estados de São Paulo, Paraná e Mato Grosso do Sul (Dematteis & Almeida, 2013). Tem ampla distribuição (EOO=16.944 km²) porém, a restrição de hábitat é uma característica preocupante quanto à sua conservação, já que as áreas de transição onde ocorre encontram-se intensamente impactadas por atividades antrópicas. A espécie está sujeita a 10 situações de ameaça e apresenta apenas uma subpopulação conhecida em área de proteção (Parque Estadual de Vila Velha) (CNCFlora, 2013), o que pode comprometer futuramente sua EOO, AOO, a qualidade do hábitat e o número de subpopulações."
ASTERACEAE,"Lessingianthus caiapoensis","(H.Rob.) H.Rob.",comments,DD,,"Lucas Moraes","Luiz Santos","Espécie caracterizada por ervas de até 40 cm de altura (Nakajima et al., 2009), com ocorrência conhecida em localidades pontuais dos estados do Pará, Mato Grosso e Goiás (CNCFlora, 2013). Apesar de ampla distribuição (EOO=377.625 km²), sua AOO estimada é baixa (AOO=32 km²), o que reflete a escassa representatividade de registros em Herbários. Pouco se conhece sobre seu padrão de distribuição dentro de sua EOO, bem como são escassos dados biológicos e ecológicos sobre a espécie, o que inviabiliza uma avaliação do risco de extinção coerente com o seu real estado de conservação na natureza."
ASTERACEAE,"Lessingianthus heringeri","(H.Rob.) H.Rob.",comments,EN,B1ab(iii)+2ab(iii),"Lucas Moraes","Luiz Santos","Endêmica do estado de Goiás, ocorre nos municípios de Luziânia e Santo Antônio do Descoberto, encontrada acima de 1.000 m de altitude (Nakajima et al., 2009; Dematteis & Almeida, 2013). Apresenta EOO estimada de 600 km² e AOO de 20 km². Os municípios de Luziânia e Santo Antônio do Descoberto encontram-se dentro da área de influência da Usina Hidrelétrica de Corumbá IV, e, neste último, há atividade agrícola em expansão (Jesus et al., 2011). São ameaças potenciais que acarretam o declínio contínuo de sua extensão e qualidade de hábitat. Seus registros de ocorrência denotam três situações de ameaça, relativas as suas localidades."
ASTERACEAE,"Lessingianthus rugulosus","(Sch.Bip.) H.Rob.",comments,DD,,"Lucas Moraes","Luiz Santos","Robinson (1988) transferiu 116 espécies neotropicais de Vernonia para o novo gênero Lessingianthus, incluindo V. rugulosa Sch. Bip., atualmente sinônimo de Lessingianthus rugulosus (Sch. Bip. ex Baker) H. Rob. Este autor indica a espécie apenas para Minas Gerais, o que é corroborado por Dematteis & Almeida (2013), portanto, segundo Melo (apud Nakajima et al., 2009), ela só é conhecida pelo material-tipo, coletado em 1956, em brejo de altitude no município de Pesqueira, no estado de Pernambuco, a cerca de 850 m de altitude (Melo, 2005). Dados de coleta mais recentes apontam para distribuição deste táxon também em Mato Grosso (CNCFlora, 2013). Nakajima (com. pess.) afirma ser necessário uma análise minuciosa dos materiais atribuídos a este táxon a fim de se estabelecer apropriadamente suas identidades, uma vez que os registros conhecidos parecem ser suspeitos."
ASTERACEAE,"Lessingianthus scaposus","(G.M.Barroso) H.Rob.",comments,DD,,"Lucas Moraes","Luiz Santos","Espécie endêmica do estado de Minas Gerais, apresenta distribuição restrita, já que ocorre apenas nos arredores do município de Diamantina (Dematteis & Almeida, 2013). É encontrada em Campos Rupestres da porção norte da Cadeia do Espinhaço mineira (Soares & Nakajima, 2008). O baixo número de registros de ocorrência e informações acerca da biologia e estado de conservação da espécie, alerta para a necessidade de maiores esforços de coleta e investimentos em pesquisa. A carência dessas informações impossibilita a compreensão do estado de conservação da espécie."
ASTERACEAE,"Minasia cabralensis",H.Rob.,comments,EN,"B1ab(i,iii)+2ab(i,iii)","Lucas Moraes","Luiz Santos","Espécie endêmica do estado de Minas Gerais, é encontrada na região da Serra do Cabral (Nakajima et al., 2009; Loeuille, 2013) (EOO estimada em 634 km² e AOO estimada em 24 km²). Ocorre em Campos Rupestres, onde se desenvolve em solo arenoso e Mata de Galeria, entre 900 m e 1.250 m de altitude (Nakajima et al., 2009; Loeuille; CNCFlora, 2013). Sujeita a quatro situações de ameaça, está sob a influência das atividades agrícolas e pecuaristas da região (Sano et al., 2010). Presente nos limites do Parque Nacional das Sempre Vivas (CNCFlora, 2013), as subpopulações que ocorrem no entorno do Parque Estadual da Serra do Cabral são ameaçadas pela monocultura de eucalipto (atividade em expansão) da área (Universidade Federal de Minas Gerais, 2010). Tem a qualidade de seu hábitat comprometida pelas ameaças às quais está sujeita, que também acarretam o declínio contínuo de sua EOO."
ASTERACEAE,"Minasia lewinsohnii","Semir & de Jesus",comments,DD,,"Lucas Moraes","Luiz Santos","Espécie endêmica do estado de Minas Gerais, encontrada no município de Diamantina, em campos arenosos do bioma Cerrado (Nakajima et al., 2009; Loeuille, 2013). Possui apenas um registro de ocorrência e as informações acerca de sua biologia são escassas. Maiores esforços de coleta e investimentos em pesquisa são necessários para a real compreensão de seu estado de conservação."
ASTERACEAE,"Stenophalium heringeri","(H.Rob.) Anderb.",comments,DD,,"Lucas Moraes","Luiz Santos","Espécie de ocorrência no estado de Minas Gerais (município de Poços de Caldas) e no Distrito Federal, neste último, foi encontrada em Unidade de Conservação (Parque Nacional de Brasília) (Loeuille; CNCFlora, 2013). Encontrada no bioma Cerrado, em terreno campestre com afloramentos rochosos e em latossolo de vegetação de Campo Sujo antropizado, na presença de 40 a 50% de capim-gordura (Loeuille; CNCFlora, 2013). É conhecida por apenas dois registros de coleta, o que alerta para a necessidade de maiores esforços na busca de novos registros e investimentos em pesquisa para que seu estado de conservação na natureza seja compreendido."
ASTERACEAE,"Stevia resinosa",Gardner,comments,VU,B1ab(iii),"Lucas Moraes","Luiz Santos","Espécie endêmica do Brasil, restrita ao domínio Cerrado dos estados de Minas Gerais (municípios de Caeté, Diamantina, Ouro Preto, Lima Duarte e São Gonçalo do Rio Preto) e São Paulo (EOO estimada em 16.370 km²) (Nakajima et al., 2009; Nakajima; CNCFlora, 2013). Encontrada entre altitudes aproximadas de 1.450 m a 1.950 m, onde se desenvolve em refúgios ecológicos alto-montanos, em Campo Rupestre e campo areno-pedregoso próximo a mata ciliar (CNCFlora, 2013). Sujeita a sete situações de ameaça, a espécie, apesar de apresentar registros de coleta que indicam sua presença no Parque Estadual do Ibitipoca, encontra-se ameaçada pelas atividades pecuaristas e agrícolas (Sano et al., 2010), bem como pelo plantio da cana-de-açúcar (Durigan et al., 2007), que configuram ameaças de alto impacto para o domínio Cerrado e que acarretam a perda da qualidade do seu hábitat e declínio da EOO. Em São Paulo, também é ameaça preocupante o intenso e constante desenvolvimento da malha rodoviária do estado (Durigan et al., 2007). Medidas de controle e o monitoramento das ameaças incidentes são emergenciais, a fim de evitar que o táxon configure em algum grau de ameaça mais severo em um futuro próximo."
ASTERACEAE,"Vernonanthura almedae","(H.Rob.) H.Rob.",comments,EN,"B2ab(i,iii)","Lucas Moraes","Luiz Santos","Espécie não endêmica (Soares & Almeida, 2013). No país, ocorre no Distrito Federal, nos municípios de Brasília e Planaltina (Nakajima et al., 2009) (AOO=16 km²), onde é encontrada no domínio Cerrado (Soares & Almeida, 2013). Está sujeita a menos de cinco situações de ameaça considerando suas localidades de ocorrência. Encontra-se ameaçada pela agricultura e pecuária (Sano et al., 2010), que contribuem para o declínio contínuo da extensão e qualidade do hábitat onde se desenvolve, bem como de sua EOO."
ASTERACEAE,"Vernonanthura lindbergii","(Baker) H.Rob.",comments,DD,,"Lucas Moraes","Luiz Santos","Os registros de coleta da espécie indicam sua ocorrência para os estados de Minas Gerais (municípios de Ouro Preto e Lagoa Santa), São Paulo (municípios de Botucatu e Jacupiranga) e Paraná (município de Jaguariahyva) (CNCFlora 2013). Entretanto, Nakajima (com. pess.) sugere uma revisão minuciosa do material coletado atribuído a esta planta, a fim de se verificar a verdadeira distribuição da espécie. Por este motivo, embora a planta apresente um AOO de 68 km² o que permitiria sua inclusão em uma categoria de ameaça, a espécie foi considerada “Dados insuficientes” (DD)."
ASTERACEAE,"Wedelia souzae",H.Rob.,comments,EN,"B1ab(i,iii)+2ab(i,iii)","Lucas Moraes","Luiz Santos","Espécie endêmica do estado de Goiás (Mondin & Bringel Jr., 2013), é encontrada nos municípios de Alto Paraíso de Goiás e Cavalcante (Nakajima et al., 2009), na Chapada dos Veadeiros e arredores (CNCFlora, 2013). Com EOO de 2.900 km² e AOO de 36 km², trata-se de uma espécie de ocorrência no domínio Cerrado (Mondin & Bringel Jr., 2013), em campos adjacentes a mata de galeria e sobre solos úmidos ou encharcados, em Campo Limpo úmido adjacente a Campo Rupestre (Nakajima et al., 2009; CNCFlora, 2013). Está sujeita a menos de cinco situações de ameaça. No estado de Goiás são muito comuns as atividades agrícolas e pecuaristas que configuram ameaças nos arredores da Chapada dos Veadeiros (Sano et al., 2010), acarretando a perda de qualidade do hábitat e o possível declínio da EOO da espécie. Além disso, está presente no Parque Nacional da Chapada dos Veadeiros (CNCFlora, 2013), que sofre com a falta de infraestrutura ideal para dar suporte à realização de atividades turísticas (MMA/ICMBio, 2009) e com a invasão gramíneas exóticas como capim-gordura (Mellinis minutiflora) e diversas espécies de Brachiaria (Ziller, 2001)."
BALANOPHORACEAE,"Lophophytum rizzoi",Delprete,comments,EN,"B1ab(i,ii,iii)+2ab(i,ii,iii)","Rodrigo Amaro","Tainan Messina","Espécie endêmica do Brasil e restrita ao estado de Goiás (Cardoso, 2009; 2014), foi coletada no município de Goiânia, no Ribeirão João Leite, em 1968 (CNCFlora, 2013), sem novos registros desde então naquele local. Foi encontrada em Campos Rupestres nos municípios de Pirenópolis e Alto Paraíso de Goiás, em diferentes localidades da Serra dos Pireneus e da Chapada dos Veadeiros (CNCFlora, 2013). A espécie ocorre no entorno das áreas protegidas do Parque Estadual da Serra dos Pireneus e do Parque Nacional Chapada dos Veadeiros, podendo ocorrer no interior dessas Unidades de Conservação. Possui EOO de 3.507 km², AOO de 24 km² e está sujeita a menos de cinco situações de ameaça, considerando as localidades de ocorrência. Suspeita-se que o acentuado crescimento urbano do município (Santos et al., 2010), o estabelecimento de uma barragem no Ribeirão João Leite (Governo do Estado de Goiás, 2011), o desenvolvimento de atividades agropecuárias e o aumento da frequência de incêndios (MMA/ICMBio, 2009) tenham levado ao desaparecimento da espécie na região. Assim, as ameaças incidentes implicam declínio contínuo de EOO, AOO e da qualidade do hábitat. Ainda que apresente registros em unidades de conservação, são necessários investimentos em planos de ação para conservação da espécie na natureza."
BIGNONIACEAE,"Adenocalymma subspicatum",A.H.Gentry,comments,EN,"B1ab(i,ii,iii,iv)+2ab(i,ii,iii,iv)"," Elsie Franklin Guimarães","Luiz Santos","Lianas encontradas em Carrascos e Caatingas (Lohmann & Silva-Castro, 2009), ocorrem nos estados do Ceará e Maranhão, nos municípios de Viçosa do Ceará e Tianguá (CE) e na Rodovia Belém-Brasília (MA) (Lohmann; CNCFlora, 2013). Apresenta EOO de 4.686 km² e AOO de 16 km² e está sujeita a três situações de ameaça, considerando as localidades de ocorrência. A produção de hortaliças e flores no município de Viçosa do Ceará voltada à exportação para o mercado europeu, a agroindústria da cana-de-açúcar e a expansão de estradas para escoamento da produção (IBGE, 2013) representam ameaças à espécie que implicam declínio contínuo de EOO, AOO, qualidade do hábitat e do número de subpopulações. Visto que a espécie não ocorre em área protegida, são necessários investimentos em planos de ação para sua conservação na natureza."
